Wed Feb 17 22:02:35 2021 | 1.80 sec | 243.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:04:55 2021 | 1.52 sec | 206.4 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:06:29 2021 | 1.88 sec | 255.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:09:06 2021 | 1.66 sec | 225.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:10:11 2021 | 1.68 sec | 228.3 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:14:38 2021 | 1.37 sec | 185.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:15:43 2021 | 1.53 sec | 207.0 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:16:20 2021 | 1.99 sec | 269.8 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:17:10 2021 | 2.70 sec | 365.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:18:14 2021 | 3.34 sec | 453.3 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:19:18 2021 | 4.05 sec | 549.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:38:30 2021 | 2.60 sec | 352.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:39:15 2021 | 2.89 sec | 391.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:40:03 2021 | 2.59 sec | 351.2 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:40:49 2021 | 2.47 sec | 335.6 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:41:29 2021 | 2.98 sec | 404.1 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
Wed Feb 17 22:41:44 2021 | 2.56 sec | 346.7 ns/ray | 1280x720 | 8 samples/pixel | 7372800 total rays
